text,label
This product is high quality and original,real
Trusted company with good reputation,real
I have used this brand for years,real
Secure and verified platform,real
Official website with valid certification,real

Win money instantly now!!!,fake
Guaranteed profit without effort,fake
Click here to claim your prize now,fake
Limited offer act fast now!!!,fake
You have been selected for a reward,fake

This is a normal message with no scam,real
Our service is reliable and tested,real
This is a professional communication,real
Customers are satisfied with this service,real
This is a verified seller with good reviews,real
The product matches the description perfectly,real
Delivery was smooth and reliable,real

Earn $5000 daily with no work,fake
This is not a scam trust me!!!,fake
Send your details to receive money,fake
Guaranteed to make you rich overnight!!!,fake
Click here now to win $5000 instantly,fake
Limited time offer act now!!!,fake
Earn money fast with no effort,fake
This is not a scam trust me!!!,fake
You have been selected for a prize click now,fake
Urgent action required to claim reward,fake


This product is authentic and verified by the manufacturer,real
We have served customers for over 10 years with trusted service,real
The company provides clear and transparent pricing,real
Customer satisfaction is our top priority,real
This is an official announcement from the organization,real
All transactions are secure and protected,real

Congratulations you have won a prize click here now,fake
Urgent action required to claim your reward immediately,fake
This is not a scam trust me send your details now,fake
Earn money quickly with no effort required,fake
Limited offer act fast before it expires,fake
You have been selected for a special bonus click now,fake
Send your bank details to receive payment instantly,fake
Congratulations you have been selected for a special reward click here now,fake
Don't miss out on this exclusive opportunity to earn money fast!!!,fake
Don't miss out on this once in a lifetime opportunity to get rich quick!!!,fake
Act now to claim your prize before it's too late,fake


This is a legitimate business opportunity with real benefits,real
Our products are sourced from reputable suppliers,real
We have a strong track record of customer satisfaction,real
This is a secure and trustworthy platform for transactions,real
This is a verified seller with excellent customer reviews,real
Our team is dedicated to providing excellent customer service,real
We have a wide range of products to meet your needs,real
This is a legitimate offer with no hidden fees,real
This is a secure and reliable platform for online transactions,real
We have a strong commitment to customer satisfaction,real
Our products are backed by a satisfaction guarantee,real


This might be a good opportunity but check carefully,real
Offer available but terms and conditions apply,real
Act now but verify the source before proceeding,real

You may have won something but confirm before clicking,fake
Limited reward waiting but requires immediate action,fake
This looks real but might be a scam act carefully,fake

This might be a good opportunity but check carefully,real
Offer available but terms and conditions apply,real
Act now but verify the source before proceeding,real

You may have won something but confirm before clicking,fake
Limited reward waiting but requires immediate action,fake
This looks real but might be a scam act carefully,fake


Please review the document at your convenience and provide feedback,real
We are updating our system for better performance and security,real
You may contact support if you need assistance with your account,real


Your account will be suspended unless you act immediately,fake
Click the link now to secure your reward,fake
You must confirm your identity to receive payment,fake
